nom_annonce;url_annonce;prix;annee;kilometrage;puissance_cv;carburant;boite_vitesse;code_postal;age_voiture
Renault Clio;https://www.autosphere.fr/fiche4/auto-occasion-renault-clio-1-6-e-tech-140ch-intens-01000-bourg-en-bresse-160391;15280;2021;70808;5;Hybride;Automatique;1;5
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-sce-65ch-evolution-62000-arras-451110;13299;2022;39592;4;Essence;Manuelle;62;4
Dacia Duster;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-duster-1-0-eco-g-100ch-extreme-10000-troyes-025451;24499;2025;2144;5;Gpl;Manuelle;10;1
Mitsubishi Eclipse Cross;https://www.autosphere.fr/fiche-mixte/auto-occasion-mitsubishi-eclipse-cross-2-4-mivec-phev-188ch-intense-4wd-2023-54135-mexy-241047;31499;2023;10;5;Hybride;Automatique;54;3
Renault Captur;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-6-e-tech-hybride-145ch-intens-21-51530-magenta-e002921;19999;2022;35906;5;Hybride;Automatique;51;4
Peugeot 3008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-3008-1-2-hybrid-136ch-allure-e-dcs6-73000-chambery-330286;29480;2024;14200;7;Essence;Automatique;73;2
Renault Zoé;https://www.autosphere.fr/fiche/auto-occasion-renault-zoe-e-tech-zen-charge-normale-r110-achat-integral-21-51100-reims-948184;15499;2021;14324;4;Electrique;Automatique;51;5
Renault Arkana;https://www.autosphere.fr/fiche4/auto-occasion-renault-arkana-1-3-tce-mild-hybrid-140ch-evolution-edc-22-07430-davezieux-15000;19980;2023;23645;7;Essence;Automatique;7;3
Renault Captur;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-0-tce-90ch-evolution-60005-beauvais-2016755;17900;2023;10914;5;Essence;Manuelle;60;3
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-e-2008-136ch-style-13100-aix-en-provence-95527;20499;2008;9859;4;Electrique;Automatique;13;18
Citroen C3;https://www.autosphere.fr/fiche-mixte/auto-occasion-citroen-c3-1-2-puretech-83ch-s-s-feel-pack-13100-aix-en-provence-95704;10799;2022;34967;4;Essence;Manuelle;13;4
Renault Captur;https://www.autosphere.fr/fiche/auto-occasion-renault-captur-1-0-tce-90ch-business-21-74100-annemasse-121956;15299;2021;41333;5;Essence;Manuelle;74;5
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-active-e-dcs6-37170-chambray-les-tours-700417;17499;2024;10694;5;Essence;Automatique;37;2
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-puretech-130ch-s-s-gt-eat8-60740-saint-maximin-1020201;21999;2008;38505;7;Essence;Automatique;60;18
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-puretech-100ch-s-s-allure-73203-albertville-212145;18969;2008;16790;5;Essence;Manuelle;73;18
Peugeot 308;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-308-1-2-puretech-110ch-s-s-allure-pack-74600-seynod-158967;13279;2021;38000;6;Essence;Manuelle;74;5
Peugeot 208;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-allure-eat8-73000-chambery-331047;12990;2020;60048;5;Essence;Automatique;73;6
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-allure-e-dcs6-30133-les-angles-11114;19499;2024;8505;5;Essence;Automatique;30;2
Peugeot 2008;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-2008-1-5-bluehdi-130ch-s-s-allure-eat8-125g-38300-bourgoin-jallieu-216399;17280;2008;97611;7;Diesel;Automatique;38;18
Renault Captur;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-0-eco-g-100ch-techno-02000-laon-250779;20999;2024;21159;5;Gpl;Manuelle;2;2
Dacia Sandero;https://www.autosphere.fr/fiche/auto-occasion-dacia-sandero-1-0-eco-g-100ch-stepway-confort-59470-wormhout-250716;13299;2021;63911;5;Gpl;Manuelle;59;5
Dacia Duster;https://www.autosphere.fr/fiche/auto-occasion-dacia-duster-1-6-hybrid-140ch-extreme-54800-jarny-025572;27999;2025;10930;5;Hybride;Automatique;54;1
Mini Mini;https://www.autosphere.fr/fiche-mixte/auto-occasion-mini-mini-cooper-136ch-edition-premium-plus-bva7-59650-villeneuve-d-ascq-2511687;26499;2022;26065;7;Essence;Automatique;59;4
Dacia Duster;https://www.autosphere.fr/fiche-mixte/auto-occasion-dacia-duster-1-0-eco-g-100ch-essential-4x2-02000-laon-250454;15499;2023;32268;5;Gpl;Manuelle;2;3
Dacia Duster;https://www.autosphere.fr/fiche/auto-occasion-dacia-duster-1-3-tce-150ch-fap-confort-4x2-edc-57600-forbach-231995;17999;2021;49000;8;Essence;Automatique;57;5
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-1-2-100ch-s-s-allure-38000-grenoble-115395;18980;2008;24191;5;Essence;Manuelle;38;18
Peugeot 2008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-2008-e-2008-136ch-allure-pack-60200-compiegne-3014437;18799;2008;42277;4;Electrique;Automatique;60;18
Renault Arkana;https://www.autosphere.fr/fiche/auto-occasion-renault-arkana-1-6-e-tech-145ch-full-hybrid-esprit-alpine-24-51530-magenta-350372;27299;2024;3913;5;Hybride;Automatique;51;2
Ford Puma;https://www.autosphere.fr/fiche/auto-occasion-ford-puma-1-0-flexifuel-125ch-s-s-mhev-st-line-92000-nanterre-24062;18299;2023;55000;6;E85;Manuelle;92;3
Renault Captur;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-captur-1-0-tce-90ch-evolution-60200-compiegne-3014401;17989;2023;11210;5;Essence;Manuelle;60;3
Dacia Sandero;https://www.autosphere.fr/fiche4/auto-occasion-dacia-sandero-1-0-eco-g-100ch-stepway-confort-26100-romans-sur-isere-120296;12280;2021;73973;5;Gpl;Manuelle;26;5
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-0-sce-65ch-evolution-07430-davezieux-15145;14479;2023;18493;4;Essence;Manuelle;7;3
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-0-tce-90ch-equilibre-02000-laon-250902;15299;2023;23687;5;Essence;Manuelle;2;3
Renault Captur;https://www.autosphere.fr/fiche4/auto-occasion-renault-captur-1-5-dci-110ch-energy-initiale-paris-51530-dizy-cr000022;13380;2017;98500;5;Diesel;Manuelle;51;9
Renault Clio;https://www.autosphere.fr/fiche-mixte/auto-occasion-renault-clio-1-5-blue-dci-100ch-evolution-24-02000-laon-250870;19499;2025;17502;5;Diesel;Manuelle;2;1
Peugeot 208;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-208-1-2-hybrid-100ch-allure-e-dcs6-13100-aix-en-provence-95502;21499;2025;10;5;Essence;Automatique;13;1
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-6-e-tech-145ch-full-hybrid-evolution-24-77100-nanteuil-les-meaux-037315;21499;2025;14656;5;Hybride;Automatique;77;1
Renault Clio;https://www.autosphere.fr/fiche/auto-occasion-renault-clio-1-0-tce-90ch-business-21n-62231-coquelles-250923;14799;2022;17021;5;Essence;Manuelle;62;4
Renault Captur;https://www.autosphere.fr/fiche4/auto-occasion-renault-captur-1-6-e-tech-hybride-145ch-techno-25000-besancon-195175;22980;2023;19343;5;Hybride;Automatique;25;3
Renault Mégane;https://www.autosphere.fr/fiche/auto-occasion-renault-megane-1-5-blue-dci-115ch-business-57200-sarreguemines-008487;16899;2021;56647;6;Diesel;Manuelle;57;5
Peugeot 3008;https://www.autosphere.fr/fiche-mixte/auto-occasion-peugeot-3008-1-2-hybrid-145ch-allure-e-dcs6-79000-niort-1242476;33499;2025;10;7;Essence;Automatique;79;1
Peugeot 208;https://www.autosphere.fr/fiche4/auto-occasion-peugeot-208-1-2-puretech-100ch-s-s-active-38000-grenoble-114921;12678;2024;77466;5;Essence;Manuelle;38;2
Mini Mini;https://www.autosphere.fr/fiche-mixte/auto-occasion-mini-mini-cooper-136ch-edition-camden-bva7-13300-salon-de-provence-919898;25999;2022;35358;7;Essence;Automatique;13;4
